x_vals,y_vals,labels
33.021126,-56.473495,semblait
31.187792,-56.811787,va
32.1622,-56.483643,t
32.85616,-56.592125,doute
32.386616,-58.434048,place
31.961632,-58.71598,derrière
32.907787,-56.963627,peine
35.550175,-56.97307,gens
33.344826,-56.399994,aller
38.66707,-54.847157,cependant
26.874754,-57.080082,êtes
27.778679,-60.288998,bout
33.70867,-57.77803,choses
36.4778,-56.201553,presque
18.75275,-62.94995,table
33.084404,-56.386543,loin
37.36854,-55.160892,peut
38.743637,-54.847015,nom
32.67753,-56.42044,fort
34.969288,-57.08412,quatre
31.01008,-56.612785,argent
22.203451,-61.510296,mari
28.838387,-58.435978,tandis
28.56664,-59.672623,lorsque
34.182873,-56.68196,prendre
29.135147,-58.61096,demanda
32.076694,-57.536922,dès
31.15465,-56.646435,ailleurs
31.733368,-56.94592,pourtant
32.179207,-57.294598,beaucoup
32.89227,-55.400597,vu
28.953205,-59.701946,seule
34.619846,-56.228165,devait
31.486797,-58.736385,nouveau
28.979336,-59.907845,soleil
31.778032,-57.637844,bas
27.368158,-57.937046,disait
33.760895,-56.08612,quoi
31.802164,-57.404312,eau
32.415974,-55.50366,avais
20.482534,-58.26992,lorsqu
32.538967,-57.44956,silence
38.587147,-54.89891,c'est
26.068712,-61.038494,lit
33.479824,-57.860718,corps
34.606953,-57.05088,ayant
32.889538,-55.44409,parce
28.713877,-59.840042,regard
27.157877,-58.32931,toi
38.019676,-54.95278,maître
31.17766,-56.708,idée
28.483782,-59.224483,ami
33.35054,-56.54974,or
12.358742,-57.19389,veux
37.158077,-55.479534,âme
32.608818,-57.95868,premier
34.99799,-56.170033,mot
30.01607,-58.979706,mois
36.26157,-56.372177,vos
30.72014,-58.770206,fils
31.411081,-59.138466,enfants
26.585512,-57.710926,besoin
33.34191,-56.352448,beau
32.284645,-55.736977,peur
30.476719,-57.84768,pris
20.730347,-60.56662,suite
32.128105,-58.495407,ciel
27.109709,-57.042618,vrai
34.55948,-56.946857,belle
27.34263,-58.392284,parler
32.343754,-58.525005,cinq
18.675896,-62.80933,visage
26.348083,-60.25922,tour
27.20915,-58.098827,voulait
32.960003,-58.364105,pieds
32.97211,-57.67563,première
28.818563,-59.47954,autour
41.53682,-53.66776,mme
35.368713,-57.2082,grands
28.811481,-59.02464,donner
23.858166,-58.970493,dit-il
26.893402,-58.411587,instant
30.149725,-58.758083,dix
27.746744,-60.388077,haut
32.247,-58.222565,force
28.534834,-59.565308,rire
29.06252,-59.797413,long
23.894121,-60.94801,trouvait
32.814304,-56.341785,pu
34.178707,-57.628586,malgré
38.527996,-55.008327,quel
37.6788,-54.93156,'
34.697,-56.45088,quelle
30.607313,-59.338264,cheveux
32.32368,-58.664677,petits
26.706018,-57.783634,abbé
23.221394,-58.262222,reste
35.754066,-56.783546,cent
30.630953,-59.128517,bois
17.422123,-60.814426,regardait
31.245792,-56.607292,abord
33.499535,-57.80349,nos
33.34743,-56.51768,effet
27.827677,-60.240757,bruit
32.826603,-57.5954,surtout
32.27405,-57.44606,lui-même
23.324417,-57.58921,aime
32.037395,-57.841423,ville
29.60694,-59.164433,fin
28.697758,-58.71068,mettre
22.164934,-58.642933,écria
26.409801,-61.054558,vieille
14.075224,-63.300125,mit
25.582178,-59.25916,longtemps
31.769043,-57.621387,celui
26.831936,-57.53466,soit
24.56204,-58.938877,sera
32.086395,-57.453407,souvent
22.176891,-61.93036,prit
23.399803,-60.714283,bonheur
28.327923,-59.833893,gros
39.681725,-54.454956,qu'il
30.647202,-57.594418,sorte
22.823763,-58.259956,as
22.044624,-61.8924,feu
25.02915,-59.424393,passer
33.500336,-56.22469,savoir
28.405226,-59.37155,joie
15.494738,-59.379734,voyait
27.034824,-58.597614,œil
17.145075,-58.808884,cher
